bibo:identifier,foaf:thumbnail
2709493e-9f85-47e3-a64c-017fa5894fe1,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88519/full/200,151/0/default.jpg"
82781308-fe54-487a-b55f-a3fa64364f63,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88471/full/200,151/0/default.jpg"
72fbd11c-4e94-49cd-adcd-96d3d8ef1e19,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88824/full/200,151/0/default.jpg"
4bef8838-3398-40a4-9eac-8db13b39969f,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88719/full/200,151/0/default.jpg"
f127fb91-43a1-4556-adbf-54f30b0010b7,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88582/full/200,151/0/default.jpg"
7e25c816-ec4c-46bb-918e-1d0ba03e6098,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88734/full/200,151/0/default.jpg"
dbbedebb-0048-40a3-ae65-8a443a50dc7f,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88809/full/200,151/0/default.jpg"
119551c6-8735-4eb8-89bb-7c448d53651f,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88604/full/200,151/0/default.jpg"
ae9bd854-2490-4793-9897-03a1916db11f,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88846/full/200,151/0/default.jpg"
83ac5ff4-60be-4894-ab4a-3bb46d19ff5a,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88639/full/200,151/0/default.jpg"
bab6290b-4b2c-4d85-be13-8ac40bfe1beb,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88813/full/200,151/0/default.jpg"
db41df8e-62c8-4ff1-b8e4-e6bc5a756405,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88725/full/200,151/0/default.jpg"
6829924b-15d0-4202-9b7c-01bbc312fa89,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88410/full/200,151/0/default.jpg"
27d1aca0-8066-4ed2-81fd-7da11a449e15,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88776/full/200,151/0/default.jpg"
95d9e8c2-5501-4cc7-8134-bca50fd52ec2,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88649/full/200,151/0/default.jpg"
9ec6326f-0490-4ea6-b2cb-530d9d09bc7a,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88428/full/200,151/0/default.jpg"
57398ab1-7d07-426d-b2f5-59c6796ba866,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88746/full/200,151/0/default.jpg"
4d93eb22-5db1-4e73-a925-6937828325a4,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88538/full/200,151/0/default.jpg"
1afeabff-a6ab-4e7b-a1f7-d58cda7668c3,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88396/full/200,151/0/default.jpg"
e97a78c2-ac2d-4357-83d2-d089ea60bc15,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88698/full/200,151/0/default.jpg"
76ce2b03-9187-4894-b2a1-75114e7a685d,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88687/full/200,151/0/default.jpg"
ea43f44c-d368-48f5-b035-2af44f176936,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88586/full/200,151/0/default.jpg"
5be90b09-1825-4a06-8299-640df7dc9014,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88740/full/200,151/0/default.jpg"
dfb28809-fb3f-408a-98f2-7d04d975a04c,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88509/full/200,151/0/default.jpg"
568d7f24-7582-4d90-98d8-4fadaa2b612d,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88775/full/200,151/0/default.jpg"
51dcb9b4-e572-4167-a932-a4da01c32af6,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88435/full/200,151/0/default.jpg"
eecab066-0c60-43f7-855b-4dc86a32ae0d,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88650/full/200,151/0/default.jpg"
aa5a4977-a5bf-4d87-a52d-dea76a1d3b63,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88463/full/200,151/0/default.jpg"
74b14d07-0351-4cb4-a432-9fe52eb090b7,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88781/full/200,151/0/default.jpg"
a7252a1d-8c1b-4754-8a1f-f7b9e64b7a96,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88449/full/200,151/0/default.jpg"
c2f26d29-baf6-4b7d-aa05-e291cb55fbd0,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88427/full/200,151/0/default.jpg"
07fdd1c9-cfb3-452e-babb-c4428851e993,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88791/full/200,151/0/default.jpg"
630d1262-f819-44ec-91b7-561c4259dd31,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88684/full/200,151/0/default.jpg"
2f96f18b-5fc1-4c41-a4a0-7f75497423a9,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88706/full/200,151/0/default.jpg"
4d7f5684-0deb-4997-b66c-33d39a93e9e8,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88737/full/200,151/0/default.jpg"
1d8fe588-f46c-4c90-9df2-6ccf9bfd31a8,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88459/full/200,151/0/default.jpg"
b7bcabd9-1897-44b8-aabf-282d6baa505c,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88503/full/200,151/0/default.jpg"
1cab389f-e332-4647-8429-b70f919892cd,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88701/full/200,151/0/default.jpg"
6a33ddaa-abbf-4146-b000-7e0ca27a1c6b,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88426/full/200,151/0/default.jpg"
85ffd9e6-1fe5-49be-8e82-4cc7b4dd8898,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88484/full/200,151/0/default.jpg"
3b4b9d23-b175-4e5b-b7ce-31a00c6dcbc0,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88780/full/200,151/0/default.jpg"
59dccd03-cf22-4284-b516-e4db689a284c,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88718/full/200,151/0/default.jpg"
470e2cb8-590f-44f0-afa2-229fe8a77852,"https://iiif.dl.itc.u-tokyo.ac.jp/repo/iiif-img/88507/full/200,151/0/default.jpg"
